Player,Playing Role
Ruturaj Gaikwad,Top-order Batsman
Moeen Ali,All-rounder
Aravelly Avanish,
Deepak Chahar,Bowler
Tushar Deshpande,Bowler
MS Dhoni,Wicketkeeper batter
Shivam Dube,All-rounder
Richard Gleeson,Bowler
Rajvardhan Hangargekar,Top-order Batsman
Ravindra Jadeja,All-rounder
Ajay Mandal,Top-order Batsman
Daryl Mitchell,All-rounder
Mukesh Choudhary,Bowler
Mustafizur Rahman,Bowler
Matheesha Pathirana,Bowler
Ajinkya Rahane,Top-order Batsman
Shaik Rasheed,
Rachin Ravindra,All-rounder
Sameer Rizvi,
Mitchell Santner,All-rounder
Simarjeet Singh,Bowler
Nishant Sindhu,
Prashant Solanki,Bowler
Shardul Thakur,Bowler
Maheesh Theekshana,Bowler
Devon Conway,Top-order Batsman/Wicketkeeper
Rishabh Pant,Wicketkeeper batter
Abishek Porel,Bowler
Khaleel Ahmed,Bowler
Ricky Bhui,Top-order Batsman
Swastik Chikara,Bowler
Yash Dhull,Top-order Batsman
Praveen Dubey,All-rounder
Jake Fraser-McGurk,Top-order Batsman
Shai Hope,Top-order Batsman
Kuldeep Yadav,Bowler
Kumar Kushagra,Top-order Batsman/Wicketkeeper
Lalit Yadav,All-rounder
Mitchell Marsh,All-rounder
Mukesh Kumar,Bowler
Anrich Nortje,Bowler
Vicky Ostwal,Bowler
Axar Patel,All-rounder
Rasikh Salam,Bowler
Jhye Richardson,Bowler
Ishant Sharma,Bowler
Prithvi Shaw,Top-order Batsman
Tristan Stubbs,
Sumit Kumar,
David Warner,Top-order Batsman
Lizaad Williams,Bowler
Harry Brook,Top-order Batsman
Lungi Ngidi,Bowler
Shubman Gill,Top-order Batsman
Azmatullah Omarzai,Bowler
Spencer Johnson,Top-order Batsman
Kartik Tyagi,Bowler
Josh Little,Bowler
Abhinav Manohar,Top-order Batsman
David Miller,Top-order Batsman
Sushant Mishra,Bowler
Darshan Nalkande,Bowler
Noor Ahmad,Bowler
Rashid Khan,Bowler
Wriddhiman Saha,Wicketkeeper batter
Sai Kishore,Bowler
Sai Sudharsan,Top-order Batsman
Sandeep Warrier,Bowler
M Shahrukh Khan,All-rounder
Vijay Shankar,All-rounder
BR Sharath,Wicketkeeper batter
Mohit Sharma,Bowler
Manav Suthar,Top-order Batsman
Rahul Tewatia,All-rounder
Matthew Wade,Top-order Batsman
Kane Williamson,Top-order Batsman
Jayant Yadav,Bowler
Umesh Yadav,Bowler
Robin Minz,Top-order Batsman
Mohammed Shami,Bowler
Shreyas Iyer,Top-order Batsman
Vaibhav Arora,Bowler
Srikar Bharat,Wicketkeeper batter
Dushmantha Chameera,Bowler
AM Ghazanfar,
Harshit Rana,Top-order Batsman
Venkatesh Iyer,All-rounder
Sunil Narine,All-rounder
Manish Pandey,Top-order Batsman
Angkrish Raghuvanshi,
Rahmanullah Gurbaz,Top-order Batsman/Wicketkeeper
Ramandeep Singh,
Nitish Rana,Top-order Batsman/All-rounder
Anukul Roy,Bowler
Andre Russell,All-rounder
Sherfane Rutherford,Top-order Batsman
Chetan Sakariya,Bowler
Sakib Hussain,Bowler
Phil Salt,Top-order Batsman
Rinku Singh,Middle-order Batsman
Mitchell Starc,Bowler
Suyash Sharma,
Varun Chakravarthy,Bowler
Gus Atkinson,Bowler
Mujeeb Ur Rahman,Bowler
Jason Roy,Top-order Batsman
KL Rahul,Top-order Batsman/Wicketkeeper Batter
Arshad Khan,Bowler
Ayush Badoni,All-rounder
Quinton de Kock,Wicketkeeper Batter
Krishnappa Gowtham,All-rounder
Matt Henry,Bowler
Deepak Hooda,All-rounder
Shamar Joseph,Bowler
Arshin Kulkarni,Bowler
Prerak Mankad,All-rounder
Kyle Mayers,All-rounder
Amit Mishra,Bowler
Mohsin Khan,Bowler
Naveen-ul-Haq,Bowler
Devdutt Padikkal,Top-order Batsman
Krunal Pandya,All-rounder
Nicholas Pooran,Wicketkeeper Batter
Ravi Bishnoi,Bowler
Manimaran Siddharth,Bowler
Marcus Stoinis,All-rounder
Ashton Turner,All-rounder
Mayank Yadav,Bowler
Yash Thakur,Bowler
Yudhvir Singh,Bowler
Shivam Mavi,Bowler
David Willey,All-rounder
Mark Wood,Bowler
Hardik Pandya,All-rounder
Dewald Brevis,Top-order Batsman
Jasprit Bumrah,Bowler
Piyush Chawla,Bowler
Gerald Coetzee,Bowler
Tim David,All-rounder
Harvik Desai,Wicketkeeper Batter
Shreyas Gopal,Bowler
Ishan Kishan,Wicketkeeper Batter
Anshul Kamboj,Bowler
Kumar Kartikeya,Bowler
Akash Madhwal,Bowler
Kwena Maphaka,Bowler
Mohammad Nabi,All-rounder
Shams Mulani,Bowler
Naman Dhir,Bowler
Shivalik Sharma,Bowler
Rohit Sharma,Top-order Batsman
Romario Shepherd,Bowler
Arjun Tendulkar,All-rounder
Nuwan Thushara,Bowler
Tilak Varma,Top-order Batsman
Nehal Wadhera,Top-order Batsman
Luke Wood,Bowler
Suryakumar Yadav,Top-order Batsman
Jason Behrendorff,Bowler
Dilshan Madushanka,Bowler
Vishnu Vinod,Wicketkeeper Batter
Shikhar Dhawan,Top-order Batsman
Arshdeep Singh,Bowler
Jonny Bairstow,Wicketkeeper Batter
Rahul Chahar,Bowler
Sam Curran,All-rounder
Rishi Dhawan,All-rounder
Nathan Ellis,Bowler
Harpreet Brar,All-rounder
Harpreet Singh,Bowler
Vidwath Kaverappa,Bowler
Liam Livingstone,All-rounder
Harshal Patel,Bowler
Prabhsimran Singh,Wicketkeeper Batter
Prince Choudhary,Bowler
Kagiso Rabada,Bowler
Rilee Rossouw,Top-order Batsman
Ashutosh Sharma,Bowler
Jitesh Sharma,Wicketkeeper Batter
Shashank Singh,Bowler
Shivam Singh,Bowler
Sikandar Raza,All-rounder
Vishwanath Singh,Bowler
Atharva Taide,Top-order Batsman
Tanay Thyagarajan,Bowler
Chris Woakes,All-rounder
Sanju Samson,Wicketkeeper Batter
Abid Mushtaq,Bowler
Ravichandran Ashwin,All-rounder
Avesh Khan,Bowler
Trent Boult,Bowler
Nandre Burger,Bowler
Jos Buttler,Wicketkeeper Batter
Yuzvendra Chahal,Bowler
Shubham Dubey,All-rounder
Donovan Ferreira,Bowler
Shimron Hetmyer,Top-order Batsman
Yashasvi Jaiswal,Top-order Batsman
Dhruv Jurel,Wicketkeeper Batter
Tom Kohler-Cadmore,Top-order Batsman
Tanush Kotian,
Keshav Maharaj,Bowler
Riyan Parag,All-rounder
Rovman Powell,All-rounder
Kunal Singh Rathore,
Navdeep Saini,Bowler
Sandeep Sharma,Bowler
Kuldeep Sen,Bowler
Prasidh Krishna,Bowler
Adam Zampa,Bowler
Faf du Plessis,Top-order Batsman
Akash Deep,Bowler
Anuj Rawat,Wicketkeeper Batter
Manoj Bhandage,
Saurav Chauhan,
Tom Curran,All-rounder
Mayank Dagar,Bowler
Lockie Ferguson,Bowler
Cameron Green,All-rounder
Will Jacks,All-rounder
Alzarri Joseph,Bowler
Dinesh Karthik,Wicketkeeper Batter
Virat Kohli,Top-order Batsman
Mahipal Lomror,All-rounder
Glenn Maxwell,All-rounder
Mohammed Siraj,Bowler
Rajat Patidar,Top-order Batsman
Suyash Prabhudessai,Top-order Batsman
Rajan Kumar,
Himanshu Sharma,
Karn Sharma,Bowler
Swapnil Singh,All-rounder
Reece Topley,Bowler
Vijaykumar Vyshak,Bowler
Yash Dayal,Bowler
Pat Cummins,Bowler
Abdul Samad,All-rounder
Abhishek Sharma,All-rounder
Mayank Agarwal,Top-order Batsman
Akash Singh,Bowler
Anmolpreet Singh,Top-order Batsman
Fazalhaq Farooqi,Bowler
Travis Head,Top-order Batsman
Marco Jansen,Bowler
Heinrich Klaasen,Wicketkeeper Batter
Bhuvneshwar Kumar,Bowler
Mayank Markande,Bowler
Aiden Markram,Top-order Batsman
T Natarajan,Bowler
Nitish Kumar Reddy,
Glenn Phillips,Wicketkeeper Batter
Sanvir Singh,
Shahbaz Ahmed,All-rounder
Jhathavedh Subramanyan,
Rahul Tripathi,Top-order Batsman
Umran Malik,Bowler
Jaydev Unadkat,Bowler
Vijayakanth Viyaskanth,Bowler
Washington Sundar,All-rounder
Upendra Yadav,Wicketkeeper Batter
Wanindu Hasaranga,All-rounder


