ID,Name,longName,battingName,fieldingName,imgUrl,dob,battingStyles,longBattingStyles,bowlingStyles,longBowlingStyles,,playingRole,espn_url
95094,RD Gaikwad,Ruturaj Gaikwad,RD Gaikwad,Gaikwad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322236.png",31-01-1997,rhb,right-hand bat,ob,right-arm offbreak,,Top-order Batsman,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380
46597,MM Ali,Moeen Ali,MM Ali,Ali,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316557.png",18-06-1987,lhb,left-hand bat,ob,right-arm offbreak,,All-rounder,https://www.espncricinfo.com/cricketers/moeen-ali-8917
116328,Aravelly Avanish,Aravelly Avanish,Aravelly Avanish,Aravelly Avanish,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/379000/379037.4.jpg",02-06-2005,lhb,left-hand bat,Na,Na,,All-rounder,https://www.espncricinfo.com/cricketers/aravelly-avanish-1408675
62022,DL Chahar,Deepak Chahar,DL Chahar,Chahar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322700/322704.png",07-08-1992,rhb,right-hand bat,rm,right-arm medium,,Bowler,https://www.espncricinfo.com/cricketers/deepak-chahar-447261
80607,TU Deshpande,Tushar Deshpande,TU Deshpande,Deshpande,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339160.png",15-05-1995,lhb,left-hand bat,rm,right-arm medium,,Bowler,https://www.espncricinfo.com/cricketers/tushar-deshpande-822553
7593,MS Dhoni,MS Dhoni,MS Dhoni,Dhoni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319946.png",07-07-1981,rhb,right-hand bat,rm,right-arm medium,,Wicketkeeper batter,https://www.espncricinfo.com/cricketers/ms-dhoni-28081
74975,S Dube,Shivam Dube,S Dube,Dube,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322700/322703.png",26-06-1993,lhb,left-hand bat,rm,right-arm medium,,All-rounder,https://www.espncricinfo.com/cricketers/shivam-dube-714451
63314,RJ Gleeson,Richard Gleeson,RJ Gleeson,Gleeson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324238.png",02-12-1987,rhb,right-hand bat,rfm,right-arm fast-medium,,Bowler,https://www.espncricinfo.com/cricketers/richard-gleeson-473191
104758,RS Hangargekar,Rajvardhan Hangargekar,RS Hangargekar,Hangargekar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339157.png",10-11-2002,rhb,right-hand bat,rfm,right-arm fast-medium,,Top-order Batsman,https://www.espncricinfo.com/cricketers/rajvardhan-hangargekar-1175429
49247,RA Jadeja,Ravindra Jadeja,RA Jadeja,Jadeja,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316600.png",06-12-1988,lhb,left-hand bat,sla,slow left-arm orthodox,,All-rounder,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675
95065,AJ Mandal,Ajay Mandal,AJ Mandal,Mandal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/314900/314902.jpg",25-02-1996,lhb,left-hand bat,sla,slow left-arm orthodox,,Top-order Batsman,https://www.espncricinfo.com/cricketers/ajay-mandal-1059570
58772,DJ Mitchell,Daryl Mitchell,DJ Mitchell,Mitchell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321212.png",20-05-1991,rhb,right-hand bat,rm,right-arm medium,,All-rounder,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743
101414,Mukesh Choudhary,Mukesh Choudhary,Mukesh Choudhary,Mukesh Choudhary,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/356800/356834.1.png",06-07-1996,lhb,left-hand bat,lm,left-arm medium,,Bowler,https://www.espncricinfo.com/cricketers/mukesh-choudhary-1125688
54674,Mustafizur Rahman,Mustafizur Rahman,Mustafizur Rahman,Mustafizur Rahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png",06-09-1995,lhb,left-hand bat,lfm,left-arm fast-medium,,Bowler,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
105938,M Pathirana,Matheesha Pathirana,M Pathirana,Pathirana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/355400/355402.png",18-12-2002,rhb,right-hand bat,rf,right-arm fast,,Bowler,https://www.espncricinfo.com/cricketers/matheesha-pathirana-1194795
51096,AM Rahane,Ajinkya Rahane,AM Rahane,Rahane,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316620.png",06-06-1988,rhb,right-hand bat,rm,right-arm medium,,Top-order Batsman,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916
110976,SK Rasheed,Shaik Rasheed,SK Rasheed,Rasheed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/345000/345086.png",24-09-2004,rhb,right-hand bat,lb,legbreak,,All-rounder,https://www.espncricinfo.com/cricketers/shaik-rasheed-1292497
89105,R Ravindra,Rachin Ravindra,R Ravindra,Ravindra,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329746.png",18-11-1999,lhb,left-hand bat,sla,slow left-arm orthodox,,All-rounder,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767
104818,Sameer Rizvi,Sameer Rizvi,Sameer Rizvi,Sameer Rizvi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/378000/378091.1.png",06-12-2003,rhb,right-hand bat,ob,right-arm offbreak,,All-rounder,https://www.espncricinfo.com/cricketers/sameer-rizvi-1175489
64864,MJ Santner,Mitchell Santner,MJ Santner,Santner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png",05-02-1992,lhb,left-hand bat,sla,slow left-arm orthodox,,All-rounder,https://www.espncricinfo.com/cricketers/mitchell-santner-502714
103599,Simarjeet Singh,Simarjeet Singh,Simarjeet Singh,Simarjeet Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/356800/356835.1.png",17-01-1998,rhb,right-hand bat,rmf,right-arm medium-fast,,Bowler,https://www.espncricinfo.com/cricketers/simarjeet-singh-1159722
110985,N Sindhu,Nishant Sindhu,N Sindhu,Sindhu,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/345000/345097.png",09-04-2004,lhb,left-hand bat,sla,slow left-arm orthodox,,All-rounder,https://www.espncricinfo.com/cricketers/nishant-sindhu-1292506
108612,PH Solanki,Prashant Solanki,PH Solanki,Solanki,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/356800/356836.1.png",22-02-2000,rhb,right-hand bat,lb,legbreak,,Bowler,https://www.espncricinfo.com/cricketers/prashant-solanki-1252337
63477,SN Thakur,Shardul Thakur,SN Thakur,Thakur,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322696.png",16-10-1991,rhb,right-hand bat,rm,right-arm medium,,Bowler,https://www.espncricinfo.com/cricketers/shardul-thakur-475281
101991,M Theekshana,Maheesh Theekshana,M Theekshana,Theekshana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/347800/347825.png",01-08-2000,rhb,right-hand bat,ob,right-arm offbreak,,Bowler,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316
58403,DP Conway,Devon Conway,DP Conway,Conway,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321214.png",08-07-1991,lhb,left-hand bat,rm,right-arm medium,,Top-order Batsman/Wicketkeeper,https://www.espncricinfo.com/cricketers/devon-conway-379140
86165,RR Pant,Rishabh Pant,RR Pant,Pant,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323036.png",04-10-1997,lhb,left-hand bat,Na,Na,,Wicketkeeper batter,https://www.espncricinfo.com/cricketers/rishabh-pant-931581
110107,Abishek Porel,Abishek Porel,Abishek Porel,Abishek Porel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsciNone",17-10-2002,lhb,left-hand bat,Na,Na,,Bowler,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
87603,KK Ahmed,Khaleel Ahmed,KK Ahmed,Ahmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322268.png",05-12-1997,rhb,right-hand bat,lfm,left-arm fast-medium,,Bowler,https://www.espncricinfo.com/cricketers/khaleel-ahmed-942645
71341,RK Bhui,Ricky Bhui,RK Bhui,Bhui,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/314800/314834.jpg",29-09-1996,rhb,right-hand bat,lbg,legbreak googly,,Top-order Batsman,https://www.espncricinfo.com/cricketers/ricky-bhui-642531
116087,SS Chikara,Swastik Chikara,SS Chikara,Chikara,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsciNone",03-04-2005,rhb,right-hand bat,ob,right-arm offbreak,,Bowler,https://www.espncricinfo.com/cricketers/swastik-chikara-1403198
110977,YV Dhull,Yash Dhull,YV Dhull,Dhull,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339162.png",11-11-2002,rhb,right-hand bat,ob,right-arm offbreak,,Top-order Batsman,https://www.espncricinfo.com/cricketers/yash-dhull-1292498
77821,P Dubey,Praveen Dubey,P Dubey,Dubey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/310700/310753.jpg",01-07-1993,rhb,right-hand bat,lbg,legbreak googly,,All-rounder,https://www.espncricinfo.com/cricketers/praveen-dubey-777515
104260,J Fraser-McGurk,Jake Fraser-McGurk,J Fraser-McGurk,Fraser-McGurk,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/299800/299893.1.jpg",11-04-2002,rhb,right-hand bat,lbg,legbreak googly,,Top-order Batsman,https://www.espncricinfo.com/cricketers/jake-fraser-mcgurk-1168049
68405,SD Hope,Shai Hope,SD Hope,Hope,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320122.png",10-11-1993,rhb,right-hand bat,Na,Na,,Top-order Batsman,https://www.espncricinfo.com/cricketers/shai-hope-581379
67609,Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319943.png",14-12-1994,lhb,left-hand bat,lws,left-arm wrist-spin,,Bowler,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235
106914,K Kushagra,Kumar Kushagra,K Kushagra,Kushagra,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/378100/378131.1.png",23-10-2004,rhb,right-hand bat,Na,Na,,Top-order Batsman/Wicketkeeper,https://www.espncricinfo.com/cricketers/kumar-kushagra-1207295
86109,Lalit Yadav,Lalit Yadav,Lalit Yadav,Lalit Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339152.png",03-01-1997,rhb,right-hand bat,ob,right-arm offbreak,,All-rounder,https://www.espncricinfo.com/cricketers/lalit-yadav-930189
50771,MR Marsh,Mitchell Marsh,MR Marsh,Marsh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316612.png",20-10-1991,rhb,right-hand bat,rm,right-arm medium,,All-rounder,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450
85763,Mukesh Kumar,Mukesh Kumar,Mukesh Kumar,Mukesh Kumar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373907.png",12-10-1993,rhb,right-hand bat,rm,right-arm medium,,Bowler,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
63651,A Nortje,Anrich Nortje,A Nortje,Nortje,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png",16-11-1993,rhb,right-hand bat,rf,right-arm fast,,Bowler,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
110999,VK Ostwal,Vicky Ostwal,VK Ostwal,Ostwal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339161.png",01-09-2002,rhb,right-hand bat,sla,slow left-arm orthodox,,Bowler,https://www.espncricinfo.com/cricketers/vicky-ostwal-1292520
67455,AR Patel,Axar Patel,AR Patel,Patel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331164.png",20-01-1994,lhb,left-hand bat,sla,slow left-arm orthodox,,All-rounder,https://www.espncricinfo.com/cricketers/axar-patel-554691
103872,Rasikh Salam,Rasikh Salam,Rasikh Salam,Rasikh Salam,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/341000/341040.png",05-04-2000,rhb,right-hand bat,rm,right-arm medium,,Bowler,https://www.espncricinfo.com/cricketers/rasikh-salam-1161489
77669,JA Richardson,Jhye Richardson,JA Richardson,Richardson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321591.png",20-09-1996,rhb,right-hand bat,rf,right-arm fast,,Bowler,https://www.espncricinfo.com/cricketers/jhye-richardson-774223
49327,I Sharma,Ishant Sharma,I Sharma,Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316602.png",02-09-1988,rhb,right-hand bat,rfm,right-arm fast-medium,,Bowler,https://www.espncricinfo.com/cricketers/ishant-sharma-236779
95315,PP Shaw,Prithvi Shaw,PP Shaw,Shaw,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322622.png",09-11-1999,rhb,right-hand bat,ob,right-arm offbreak,,Top-order Batsman,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168
69697,T Stubbs,Tristan Stubbs,T Stubbs,Stubbs,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348577.png",14-08-2000,rhb,right-hand bat,ob,right-arm offbreak,,All-rounder,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
103611,Sumit Kumar,Sumit Kumar,Sumit Kumar,Sumit Kumar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsciNone",12-12-1995,rhb,right-hand bat,rmf,right-arm medium-fast,,All-rounder,https://www.espncricinfo.com/cricketers/sumit-kumar-1159734
48739,DA Warner,David Warner,DA Warner,Warner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316589.png",27-10-1986,lhb,left-hand bat,lb,legbreak,,Top-order Batsman,https://www.espncricinfo.com/cricketers/david-warner-219889
58488,LB Williams,Lizaad Williams,LB Williams,Williams,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329749.png",01-10-1993,lhb,left-hand bat,rmf,right-arm medium-fast,,Bowler,https://www.espncricinfo.com/cricketers/lizaad-williams-379887
84027,HC Brook,Harry Brook,HC Brook,Brook,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324246.png",22-02-1999,rhb,right-hand bat,rm,right-arm medium,,Top-order Batsman,https://www.espncricinfo.com/cricketers/harry-brook-911707
66941,L Ngidi,Lungi Ngidi,L Ngidi,Ngidi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322069.png",29-03-1996,rhb,right-hand bat,rfm,right-arm fast-medium,,Bowler,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023
95316,Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322697.png",08-09-1999,rhb,right-hand bat,ob,right-arm offbreak,,Top-order Batsman,https://www.espncricinfo.com/cricketers/shubman-gill-1070173
80247,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/375400/375447.png",24-03-2000,rhb,right-hand bat,rmf,right-arm medium-fast,,Bowler,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429
101328,SH Johnson,Spencer Johnson,SH Johnson,Johnson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/374500/374591.1.png",16-12-1995,lhb,left-hand bat,lf,left-arm fast,,Top-order Batsman,https://www.espncricinfo.com/cricketers/spencer-johnson-1123718
101306,Kartik Tyagi,Kartik Tyagi,Kartik Tyagi,Kartik Tyagi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339150.png",08-11-2000,rhb,right-hand bat,rf,right-arm fast,,Bowler,https://www.espncricinfo.com/cricketers/kartik-tyagi-1122918
85975,JB Little,Josh Little,JB Little,Little,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/367800/367860.png",01-11-1999,rhb,right-hand bat,lfm,left-arm fast-medium,,Bowler,https://www.espncricinfo.com/cricketers/josh-little-928067
77887,A Manohar,Abhinav Manohar,A Manohar,Manohar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsciNone",16-09-1994,rhb,right-hand bat,lbg,legbreak googly,,Top-order Batsman,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963
53891,DA Miller,David Miller,DA Miller,Miller,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316655.png",10-06-1989,lhb,left-hand bat,ob,right-arm offbreak,,Top-order Batsman,https://www.espncricinfo.com/cricketers/david-miller-321777
104786,SS Mishra,Sushant Mishra,SS Mishra,Mishra,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsciNone",23-12-2000,lhb,left-hand bat,lmf,left-arm medium-fast,,Bowler,https://www.espncricinfo.com/cricketers/sushant-mishra-1175457
99252,DG Nalkande,Darshan Nalkande,DG Nalkande,Nalkande,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/357400/357411.1.jpg",04-10-1998,rhb,right-hand bat,rfm,right-arm fast-medium,,Bowler,https://www.espncricinfo.com/cricketers/darshan-nalkande-1111917
105215,Noor Ahmad,Noor Ahmad,Noor Ahmad,Noor Ahmad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/372500/372590.1.png",03-01-2005,rhb,right-hand bat,lws,left-arm wrist-spin,,Bowler,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529
79159,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png",20-09-1998,rhb,right-hand bat,lbg,legbreak googly,,Bowler,https://www.espncricinfo.com/cricketers/rashid-khan-793463
